item_id;product_id;brand;product_line;product_class;product_size;standard_cost
0;0;Norco Bicycles;Road;medium;medium;376,84
1;0;Norco Bicycles;Standard;low;medium;290,41
2;0;OHM Cycles;Road;high;large;7,21
3;0;Trek Bicycles;Standard;medium;medium;388,72
4;0;OHM Cycles;Standard;medium;medium;125,07
5;0;Solex;Standard;medium;medium;298,72
6;0;OHM Cycles;Standard;low;medium;56,93
7;0;Trek Bicycles;Standard;high;medium;297,43
8;0;;;;;
9;0;Giant Bicycles;Standard;medium;medium;173,18
10;0;Trek Bicycles;Road;medium;medium;400,13
11;0;Trek Bicycles;Standard;high;medium;215,03
12;0;OHM Cycles;Standard;high;medium;136,73
13;0;Solex;Standard;medium;medium;53,62
14;0;Trek Bicycles;Road;medium;medium;215,14
15;0;Giant Bicycles;Standard;medium;large;528,43
16;0;Norco Bicycles;Road;medium;medium;407,54
17;0;WeareA2B;Standard;medium;medium;45,26
18;0;OHM Cycles;Standard;medium;medium;137,90
19;0;Solex;Road;medium;medium;312,74
20;0;Solex;Standard;medium;medium;75,26
21;0;Norco Bicycles;Standard;medium;medium;270,30
22;0;WeareA2B;Standard;medium;small;131,92
23;0;Solex;Standard;medium;large;151,96
24;0;Solex;Standard;medium;medium;84,99
25;0;Solex;Road;medium;medium;312,74
26;0;Norco Bicycles;Standard;medium;medium;270,30
27;0;OHM Cycles;Road;medium;medium;667,40
28;1;Giant Bicycles;Standard;medium;medium;954,82
29;1;Giant Bicycles;Touring;medium;large;863,95
30;2;Solex;Standard;medium;medium;53,62
31;2;Giant Bicycles;Road;low;small;525,33
32;3;Trek Bicycles;Standard;medium;large;388,92
33;4;Giant Bicycles;Standard;high;medium;677,48
34;4;Solex;Standard;medium;medium;99,59
35;5;Trek Bicycles;Mountain;low;medium;459,71
36;5;Giant Bicycles;Standard;high;medium;677,48
37;6;OHM Cycles;Standard;high;medium;136,73
38;6;Solex;Standard;high;medium;448,90
39;7;Trek Bicycles;Road;low;medium;234,43
40;7;Giant Bicycles;Standard;medium;small;1167,18
41;8;Solex;Road;medium;small;1516,13
42;9;OHM Cycles;Road;medium;medium;667,40
43;9;Norco Bicycles;Standard;medium;small;1082,36
44;10;Solex;Standard;medium;medium;333,18
45;10;WeareA2B;Touring;medium;medium;363,25
46;11;Giant Bicycles;Standard;high;medium;764,96
47;11;Trek Bicycles;Standard;medium;small;1580,47
48;12;WeareA2B;Standard;medium;medium;161,60
49;12;Giant Bicycles;Standard;medium;large;709,48
50;13;Solex;Standard;medium;medium;589,27
51;13;Solex;Standard;medium;medium;826,51
52;14;Solex;Standard;high;large;1105,75
53;14;Trek Bicycles;Standard;medium;small;1234,29
54;15;WeareA2B;Standard;medium;medium;13,44
55;15;Norco Bicycles;Standard;low;medium;748,90
56;16;Norco Bicycles;Standard;high;small;1479,11
57;17;Solex;Standard;high;medium;614,80
58;17;WeareA2B;Touring;medium;large;57,74
59;18;Norco Bicycles;Standard;high;medium;689,18
60;18;Solex;Standard;medium;medium;431,45
61;19;Trek Bicycles;Mountain;low;medium;459,71
62;19;OHM Cycles;Road;high;large;7,21
63;20;Trek Bicycles;Standard;medium;small;1580,47
64;21;Solex;Standard;medium;large;380,74
65;21;WeareA2B;Touring;medium;medium;363,25
66;22;WeareA2B;Standard;medium;medium;45,26
67;22;Solex;Standard;medium;medium;431,45
68;23;Norco Bicycles;Mountain;low;small;612,88
69;23;Norco Bicycles;Standard;medium;medium;381,10
70;24;Solex;Road;medium;large;820,78
71;25;Giant Bicycles;Road;medium;medium;829,65
72;25;OHM Cycles;Standard;high;medium;1203,40
73;26;WeareA2B;Standard;medium;medium;762,63
