item_id,product_id,brand,product_line,product_class,product_size,standard_cost
0.0,0.0,Norco Bicycles,Road,medium,medium,"376,84"
1.0,0.0,Norco Bicycles,Standard,low,medium,"290,41"
2.0,0.0,OHM Cycles,Road,high,large,"7,21"
3.0,0.0,Trek Bicycles,Standard,medium,medium,"388,72"
4.0,0.0,OHM Cycles,Standard,medium,medium,"125,07"
5.0,0.0,Solex,Standard,medium,medium,"298,72"
6.0,0.0,OHM Cycles,Standard,low,medium,"56,93"
7.0,0.0,Trek Bicycles,Standard,high,medium,"297,43"
8.0,0.0,,,,,
9.0,0.0,Giant Bicycles,Standard,medium,medium,"173,18"
10.0,0.0,Trek Bicycles,Road,medium,medium,"400,13"
11.0,0.0,Trek Bicycles,Standard,high,medium,"215,03"
12.0,0.0,OHM Cycles,Standard,high,medium,"136,73"
13.0,0.0,Solex,Standard,medium,medium,"53,62"
14.0,0.0,Trek Bicycles,Road,medium,medium,"215,14"
15.0,0.0,Giant Bicycles,Standard,medium,large,"528,43"
16.0,0.0,Norco Bicycles,Road,medium,medium,"407,54"
17.0,0.0,WeareA2B,Standard,medium,medium,"45,26"
18.0,0.0,OHM Cycles,Standard,medium,medium,"137,90"
19.0,0.0,Solex,Road,medium,medium,"312,74"
20.0,0.0,Solex,Standard,medium,medium,"75,26"
21.0,0.0,Norco Bicycles,Standard,medium,medium,"270,30"
22.0,0.0,WeareA2B,Standard,medium,small,"131,92"
23.0,0.0,Solex,Standard,medium,large,"151,96"
24.0,0.0,Solex,Standard,medium,medium,"84,99"
27.0,0.0,OHM Cycles,Road,medium,medium,"667,40"
28.0,1.0,Giant Bicycles,Standard,medium,medium,"954,82"
29.0,1.0,Giant Bicycles,Touring,medium,large,"863,95"
30.0,2.0,Solex,Standard,medium,medium,"53,62"
31.0,2.0,Giant Bicycles,Road,low,small,"525,33"
32.0,3.0,Trek Bicycles,Standard,medium,large,"388,92"
33.0,4.0,Giant Bicycles,Standard,high,medium,"677,48"
34.0,4.0,Solex,Standard,medium,medium,"99,59"
35.0,5.0,Trek Bicycles,Mountain,low,medium,"459,71"
36.0,5.0,Giant Bicycles,Standard,high,medium,"677,48"
37.0,6.0,OHM Cycles,Standard,high,medium,"136,73"
38.0,6.0,Solex,Standard,high,medium,"448,90"
39.0,7.0,Trek Bicycles,Road,low,medium,"234,43"
40.0,7.0,Giant Bicycles,Standard,medium,small,"1167,18"
41.0,8.0,Solex,Road,medium,small,"1516,13"
42.0,9.0,OHM Cycles,Road,medium,medium,"667,40"
43.0,9.0,Norco Bicycles,Standard,medium,small,"1082,36"
44.0,10.0,Solex,Standard,medium,medium,"333,18"
45.0,10.0,WeareA2B,Touring,medium,medium,"363,25"
46.0,11.0,Giant Bicycles,Standard,high,medium,"764,96"
47.0,11.0,Trek Bicycles,Standard,medium,small,"1580,47"
48.0,12.0,WeareA2B,Standard,medium,medium,"161,60"
49.0,12.0,Giant Bicycles,Standard,medium,large,"709,48"
50.0,13.0,Solex,Standard,medium,medium,"589,27"
51.0,13.0,Solex,Standard,medium,medium,"826,51"
52.0,14.0,Solex,Standard,high,large,"1105,75"
53.0,14.0,Trek Bicycles,Standard,medium,small,"1234,29"
54.0,15.0,WeareA2B,Standard,medium,medium,"13,44"
55.0,15.0,Norco Bicycles,Standard,low,medium,"748,90"
56.0,16.0,Norco Bicycles,Standard,high,small,"1479,11"
57.0,17.0,Solex,Standard,high,medium,"614,80"
58.0,17.0,WeareA2B,Touring,medium,large,"57,74"
59.0,18.0,Norco Bicycles,Standard,high,medium,"689,18"
60.0,18.0,Solex,Standard,medium,medium,"431,45"
61.0,19.0,Trek Bicycles,Mountain,low,medium,"459,71"
62.0,19.0,OHM Cycles,Road,high,large,"7,21"
63.0,20.0,Trek Bicycles,Standard,medium,small,"1580,47"
64.0,21.0,Solex,Standard,medium,large,"380,74"
65.0,21.0,WeareA2B,Touring,medium,medium,"363,25"
66.0,22.0,WeareA2B,Standard,medium,medium,"45,26"
67.0,22.0,Solex,Standard,medium,medium,"431,45"
68.0,23.0,Norco Bicycles,Mountain,low,small,"612,88"
69.0,23.0,Norco Bicycles,Standard,medium,medium,"381,10"
70.0,24.0,Solex,Road,medium,large,"820,78"
71.0,25.0,Giant Bicycles,Road,medium,medium,"829,65"
72.0,25.0,OHM Cycles,Standard,high,medium,"1203,40"
73.0,26.0,WeareA2B,Standard,medium,medium,"762,63"
74.0,27.0,Trek Bicycles,Standard,medium,medium,"388,72"
75.0,27.0,Trek Bicycles,Standard,low,medium,"154,40"
76.0,28.0,Norco Bicycles,Standard,medium,small,"1082,36"
77.0,28.0,Solex,Road,medium,small,"1516,13"
78.0,29.0,WeareA2B,Standard,medium,medium,"230,09"
79.0,29.0,Norco Bicycles,Road,medium,medium,"407,54"
80.0,30.0,Solex,Standard,high,medium,"448,90"
81.0,30.0,OHM Cycles,Standard,medium,medium,"770,89"
82.0,31.0,WeareA2B,Standard,medium,medium,"205,36"
83.0,31.0,Giant Bicycles,Standard,medium,medium,"173,18"
84.0,32.0,Giant Bicycles,Standard,medium,medium,"211,37"
85.0,32.0,Giant Bicycles,Standard,high,medium,"707,40"
