,transaction_id,item_id,customer_id,transaction_date,online_order,order_status,list_price
0,1,30,2950,25.02.2017,False,Approved,"71,49"
1,2,32,3120,21.05.2017,True,Approved,"2091,47"
2,3,94,402,16.10.2017,False,Approved,"1793,43"
3,4,179,3135,31.08.2017,False,Approved,"1198,46"
4,5,161,787,01.10.2017,True,Approved,"1765,3"
5,6,71,2339,08.03.2017,True,Approved,"1538,99"
6,7,66,1542,21.04.2017,True,Approved,"60,34"
7,8,54,2459,15.07.2017,False,Approved,"1292,84"
8,9,143,1305,10.08.2017,False,Approved,"1071,23"
9,10,48,3262,30.08.2017,True,Approved,"1231,15"
10,11,35,1986,17.01.2017,False,Approved,"574,64"
11,12,132,2783,05.01.2017,True,Approved,"71,16"
12,13,90,1243,26.02.2017,True,Approved,"1057,51"
13,14,56,2717,10.09.2017,False,Approved,"1661,92"
14,15,49,247,11.06.2017,False,Approved,"1765,3"
15,16,32,2961,10.10.2017,False,Approved,"2091,47"
16,17,162,2426,03.04.2017,False,Approved,"1555,58"
17,18,86,1842,02.06.2017,False,Approved,"1311,44"
18,19,121,2268,06.04.2017,True,Approved,"1292,84"
19,20,71,3002,28.01.2017,True,Approved,"1538,99"
20,21,74,1582,09.10.2017,False,Approved,"499,53"
21,22,94,595,29.06.2017,True,Approved,"1793,43"
22,23,94,2001,08.04.2017,True,Approved,"1793,43"
23,24,168,515,18.10.2017,False,Approved,"1538,99"
24,25,181,2822,11.06.2017,False,Approved,"1362,99"
25,26,138,2596,10.01.2017,False,Approved,"1469,44"
26,27,138,2666,11.04.2017,True,Approved,"1469,44"
27,28,61,76,23.12.2017,False,Approved,"574,64"
28,29,151,3368,13.10.2017,True,Approved,"360,4"
29,30,185,1173,15.03.2017,False,Approved,"642,31"
30,31,179,2810,05.09.2017,True,Approved,"1198,46"
31,32,28,3214,18.02.2017,False,Approved,"1403,5"
32,33,71,1272,20.03.2017,False,Approved,"1538,99"
33,34,200,2003,28.02.2017,True,Approved,"1720,7"
34,35,0,2171,20.08.2017,False,Approved,"544,05"
35,36,187,3356,07.07.2017,False,Approved,"1415,01"
36,37,52,1040,09.01.2017,False,Approved,"1842,92"
37,38,30,2916,06.12.2017,False,Approved,"71,49"
38,39,48,427,12.09.2017,False,Approved,"1231,15"
39,40,0,2448,28.11.2017,True,Approved,"544,05"
40,41,105,2570,08.05.2017,True,Approved,"1769,64"
41,42,163,3398,14.05.2017,False,Approved,"2083,94"
42,43,157,488,17.03.2017,False,Cancelled,"642,31"
43,44,108,165,22.12.2017,False,Approved,"1289,85"
44,45,123,2787,07.06.2017,True,Approved,"1894,19"
45,46,141,3053,20.06.2017,False,Approved,"1163,89"
46,47,90,475,07.05.2017,True,Approved,"1057,51"
47,48,166,1305,10.06.2017,True,Approved,"1151,96"
48,49,175,1251,17.06.2017,False,Approved,"235,63"
49,50,84,3103,10.05.2017,False,Approved,"642,7"
50,51,159,3108,24.03.2017,False,Approved,"1240,31"
51,52,194,857,27.11.2017,False,Approved,"1635,3"
52,53,37,3455,21.12.2017,True,Approved,"227,88"
53,54,74,2549,09.02.2017,True,Approved,"499,53"
54,55,1,3140,18.09.2017,False,Approved,"363,01"
55,56,110,3406,14.11.2017,False,Approved,"1720,7"
56,57,191,2294,30.08.2017,True,Approved,"1635,3"
57,58,186,1031,14.11.2017,False,Approved,"100,35"
58,59,189,993,15.02.2017,True,Approved,"1458,17"
59,60,131,3473,18.12.2017,False,Approved,"1977,36"
60,61,2,1839,24.02.2017,False,Approved,"12,01"
61,62,86,1824,18.12.2017,True,Approved,"1311,44"
62,63,91,368,17.12.2017,False,Approved,"1403,5"
63,64,3,2000,08.07.2017,False,Approved,"499,53"
64,65,76,825,16.05.2017,True,Approved,"1216,14"
65,66,175,3315,23.02.2017,True,Approved,"235,63"
66,67,30,75,03.07.2017,True,Approved,"71,49"
67,68,33,1498,30.09.2017,True,Approved,"1129,13"
68,69,95,1612,21.10.2017,True,Approved,"2091,47"
69,70,74,2192,06.05.2017,True,Approved,"499,53"
70,71,121,419,03.01.2017,False,Approved,"1292,84"
71,72,160,3307,09.05.2017,True,Approved,"1769,64"
72,73,66,2430,23.07.2017,False,Approved,"60,34"
73,74,124,1506,21.01.2017,True,Approved,"183,86"
74,75,127,1346,20.06.2017,False,Approved,"912,52"
75,76,66,927,10.03.2017,False,Approved,"60,34"
